id,tanggal,bulan,bulan_inggris,kuartal,kota,kategori,merek,produk,unit_terjual,biaya_iklan_jt,pendapatan_jt,rata_rata_pendapatan_jt
TRX0456,2024-01-12,Januari,January,Q1,Bandung,Hatchback,Daihatsu,Ayla,1,38.41,186,186
TRX0114,2024-01-12,Januari,January,Q1,Yogyakarta,SUV,Mercedes-Benz,GLA,10,33.04,11030,1103
TRX0514,2024-01-12,Januari,January,Q1,Surabaya,Sedan,Lexus,ES,4,49.34,4480,1120
TRX0528,2024-01-12,Januari,January,Q1,Bandar Lampung,Hatchback,Mazda,CX-3,13,65.41,5421,417
TRX0151,2024-01-13,Januari,January,Q1,Bandung,LCGC,Daihatsu,Sigra,14,37.63,2912,208
TRX0470,2024-01-13,Januari,January,Q1,Padang,Hatchback,Volkswagen,Passat,17,42.1,12189,717
TRX0086,2024-01-14,Januari,January,Q1,Bekasi,Sedan,Audi,A6,4,32.59,4820,1205
TRX0336,2024-01-14,Januari,January,Q1,Denpasar,Sedan,Lexus,ES,8,40.68,8680,1085
TRX0552,2024-01-14,Januari,January,Q1,Bandar Lampung,Sedan,Mercedes-Benz,C-Class,16,45.06,15712,982
TRX0415,2024-01-15,Januari,January,Q1,Bandar Lampung,SUV,Mercedes-Benz,GLC,10,28.87,13050,1305
TRX0262,2024-01-15,Januari,January,Q1,Semarang,Sedan,Kia,Carnival,19,60.57,11704,616
TRX0214,2024-01-16,Januari,January,Q1,Makassar,Hatchback,Hyundai,Tucson,15,46.83,7515,501
TRX0166,2024-01-16,Januari,January,Q1,Pekanbaru,MPV,Honda,Odyssey,3,11.45,1923,641
TRX0454,2024-01-16,Januari,January,Q1,Makassar,SUV,Honda,HR-V,19,50.19,7524,396
TRX0255,2024-01-16,Januari,January,Q1,Bandung,SUV,Volkswagen,Passat,10,56.09,6910,691
TRX0296,2024-01-17,Januari,January,Q1,Makassar,Sedan,Mazda,Mazda3,14,54.8,6440,460
TRX0537,2024-01-17,Januari,January,Q1,Bekasi,SUV,Suzuki,S-Cross,20,68.9,7080,354
TRX0486,2024-01-18,Januari,January,Q1,Bandar Lampung,SUV,Mitsubishi,Eclipse Cross,18,24.11,7290,405
TRX0188,2024-01-18,Januari,January,Q1,Malang,LCGC,Suzuki,Karimun,4,15.12,724,181
TRX0074,2024-01-18,Januari,January,Q1,Bandar Lampung,Sedan,Lexus,ES,1,11.69,1111,1111
TRX0359,2024-01-18,Januari,January,Q1,Pekanbaru,Sedan,Audi,A4,10,35.01,8850,885
TRX0578,2024-01-18,Januari,January,Q1,Makassar,SUV,Mitsubishi,Outlander,4,31.58,2076,519
TRX0392,2024-01-18,Januari,January,Q1,Malang,SUV,Daihatsu,Terios,1,25.85,284,284
TRX0597,2024-01-18,Januari,January,Q1,Surabaya,Sedan,Audi,Q3,2,28.14,1972,986
TRX0340,2024-01-18,Januari,January,Q1,Bandar Lampung,SUV,Wuling,Almaz,20,37.2,7160,358
TRX0056,2024-01-19,Januari,January,Q1,Pekanbaru,Sedan,Mazda,MX-5,13,35.27,9165,705
TRX0494,2024-01-19,Januari,January,Q1,Surabaya,SUV,Mitsubishi,Outlander,18,75.57,9288,516
TRX0291,2024-01-19,Januari,January,Q1,Bandung,MPV,Daihatsu,Xenia,13,27.83,3042,234
TRX0035,2024-01-19,Januari,January,Q1,Jakarta,SUV,Hyundai,Santa Fe,3,29.86,1779,593
TRX0516,2024-01-20,Januari,January,Q1,Bandar Lampung,LCGC,Daihatsu,Sigra,8,35.29,1560,195
TRX0354,2024-01-20,Januari,January,Q1,Bogor,MPV,Hyundai,Santa Fe,2,13.98,1232,616
TRX0373,2024-01-20,Januari,January,Q1,Jakarta,Sedan,Honda,Accord,15,71.89,8775,585
TRX0199,2024-01-20,Januari,January,Q1,Manado,Pickup,Mitsubishi,Delica,12,44.72,5400,450
TRX0033,2024-01-21,Januari,January,Q1,Balikpapan,Sedan,Lexus,LS,19,62.38,34200,1800
TRX0349,2024-01-21,Januari,January,Q1,Bandar Lampung,Sedan,Volkswagen,Touareg,18,61.0,21690,1205
TRX0288,2024-01-21,Januari,January,Q1,Bandar Lampung,Sedan,BMW,3 Series,2,16.67,2014,1007
TRX0158,2024-01-21,Januari,January,Q1,Denpasar,Sedan,Audi,A4,11,46.82,9911,901
TRX0212,2024-01-21,Januari,January,Q1,Surabaya,Sedan,Lexus,LS,9,36.87,16344,1816
TRX0309,2024-01-22,Januari,January,Q1,Medan,MPV,Audi,Q3,10,53.11,10090,1009
TRX0530,2024-01-22,Januari,January,Q1,Depok,MPV,Wuling,Air ev,7,35.75,1260,180
TRX0569,2024-01-22,Januari,January,Q1,Denpasar,MPV,Daihatsu,Xenia,8,38.77,1904,238
TRX0436,2024-01-23,Januari,January,Q1,Semarang,Hatchback,Wuling,Air ev,13,29.48,2730,210
TRX0377,2024-01-23,Januari,January,Q1,Bekasi,Hatchback,Mazda,CX-3,7,45.31,2765,395
TRX0331,2024-01-24,Januari,January,Q1,Pekanbaru,Sedan,Lexus,ES,3,18.24,3315,1105
TRX0396,2024-01-24,Januari,January,Q1,Yogyakarta,SUV,Wuling,Air ev,14,55.34,3052,218
TRX0401,2024-01-24,Januari,January,Q1,Padang,MPV,Mazda,CX-3,13,36.69,5083,391
TRX0223,2024-01-25,Januari,January,Q1,Denpasar,MPV,Nissan,Livina,18,36.7,5202,289
TRX0239,2024-01-26,Januari,January,Q1,Semarang,SUV,Toyota,Fortuner,14,57.15,8540,610
TRX0110,2024-01-26,Januari,January,Q1,Pekanbaru,Hatchback,Honda,Brio,15,45.68,2835,189
TRX0535,2024-01-26,Januari,January,Q1,Palembang,Hatchback,Kia,Stonic,11,53.53,3509,319
TRX0397,2024-01-26,Januari,January,Q1,Yogyakarta,MPV,Suzuki,XL7,14,29.85,4676,334
TRX0173,2024-01-26,Januari,January,Q1,Bandar Lampung,Sedan,Mercedes-Benz,S-Class,17,68.7,34017,2001
TRX0560,2024-01-26,Januari,January,Q1,Makassar,Sedan,Toyota,Camry,9,23.89,5130,570
TRX0272,2024-01-26,Januari,January,Q1,Bogor,Sedan,Mercedes-Benz,E-Class,7,33.03,8400,1200
TRX0381,2024-01-26,Januari,January,Q1,Tangerang,MPV,Lexus,NX,18,66.44,17892,994
TRX0339,2024-01-27,Januari,January,Q1,Yogyakarta,MPV,Nissan,Livina,5,41.45,1440,288
TRX0478,2024-01-27,Januari,January,Q1,Samarinda,Sedan,Audi,e-tron,18,58.51,26910,1495
TRX0178,2024-01-27,Januari,January,Q1,Bandar Lampung,SUV,Audi,Q5,10,35.86,11900,1190
TRX0471,2024-01-27,Januari,January,Q1,Denpasar,Sedan,Lexus,LS,20,67.22,36240,1812
TRX0355,2024-01-27,Januari,January,Q1,Manado,SUV,Lexus,RX,8,21.34,9440,1180
TRX0099,2024-01-27,Januari,January,Q1,Makassar,Hatchback,Nissan,Kicks,10,12.97,3950,395
TRX0005,2024-01-27,Januari,January,Q1,Bandung,SUV,Mazda,CX-5,12,23.69,6216,518
TRX0395,2024-01-27,Januari,January,Q1,Bandung,MPV,Nissan,Serena,13,53.63,4992,384
TRX0119,2024-01-28,Januari,January,Q1,Tangerang,MPV,Mazda,MX-5,19,39.14,13262,698
TRX0139,2024-01-28,Januari,January,Q1,Bogor,Sedan,BMW,5 Series,3,34.17,3900,1300
TRX0367,2024-01-28,Januari,January,Q1,Semarang,Sedan,Honda,Accord,15,42.85,9000,600
TRX0026,2024-01-28,Januari,January,Q1,Tangerang,MPV,Suzuki,XL7,18,40.51,5544,308
TRX0048,2024-01-28,Januari,January,Q1,Samarinda,Sedan,Mazda,Mazda3,11,56.7,5148,468
TRX0230,2024-01-29,Januari,January,Q1,Palembang,LCGC,Toyota,Calya,11,32.45,2079,189
TRX0014,2024-01-29,Januari,January,Q1,Semarang,Hatchback,Lexus,NX,20,62.06,20080,1004
TRX0317,2024-01-30,Januari,January,Q1,Makassar,MPV,Nissan,Serena,17,55.0,6902,406
TRX0311,2024-01-30,Januari,January,Q1,Jakarta,Sedan,Audi,A4,4,33.53,3580,895
TRX0446,2024-01-30,Januari,January,Q1,Medan,MPV,Hyundai,Stargazer,20,81.61,6920,346
TRX0200,2024-01-30,Januari,January,Q1,Jakarta,Hatchback,BMW,X3,17,38.56,20655,1215
TRX0353,2024-01-31,Januari,January,Q1,Jakarta,MPV,Nissan,Kicks,17,60.26,6392,376
TRX0358,2024-01-31,Januari,January,Q1,Bandar Lampung,SUV,Lexus,RX,6,60.75,7278,1213
TRX0550,2024-01-31,Januari,January,Q1,Bandung,SUV,Lexus,LX,18,39.22,27180,1510
TRX0338,2024-01-31,Januari,January,Q1,Balikpapan,Hatchback,BMW,X3,3,14.15,3612,1204
TRX0082,2024-01-31,Januari,January,Q1,Padang,Sedan,Mercedes-Benz,GLC,7,51.36,9079,1297
TRX0325,2024-01-31,Januari,January,Q1,Tangerang,LCGC,Suzuki,Karimun,19,47.71,3781,199
TRX0334,2024-02-01,Februari,February,Q1,Makassar,SUV,Hyundai,Tucson,14,58.04,6832,488
TRX0058,2024-02-01,Februari,February,Q1,Pekanbaru,SUV,Mitsubishi,Eclipse Cross,17,47.04,7106,418
TRX0132,2024-02-01,Februari,February,Q1,Pekanbaru,Hatchback,Honda,Jazz,7,46.46,1841,263
TRX0133,2024-02-02,Februari,February,Q1,Manado,MPV,Suzuki,Ertiga,18,47.2,5346,297
TRX0171,2024-02-02,Februari,February,Q1,Bandar Lampung,Hatchback,Honda,Jazz,14,19.31,3962,283
TRX0389,2024-02-02,Februari,February,Q1,Makassar,SUV,BMW,X5,19,33.13,26904,1416
TRX0590,2024-02-02,Februari,February,Q1,Bogor,MPV,Suzuki,S-Cross,15,51.58,4965,331
TRX0040,2024-02-03,Februari,February,Q1,Bekasi,SUV,Mitsubishi,Eclipse Cross,18,16.47,7470,415
TRX0208,2024-02-03,Februari,February,Q1,Balikpapan,SUV,Kia,Seltos,17,29.14,6783,399
TRX0205,2024-02-03,Februari,February,Q1,Samarinda,SUV,Volkswagen,Tiguan,3,54.72,1965,655
TRX0267,2024-02-04,Februari,February,Q1,Denpasar,Sedan,Suzuki,S-Cross,11,50.15,3938,358
TRX0249,2024-02-04,Februari,February,Q1,Bogor,SUV,Mitsubishi,Eclipse Cross,20,73.97,8120,406
TRX0574,2024-02-04,Februari,February,Q1,Malang,LCGC,Daihatsu,Sigra,18,69.49,3618,201
TRX0591,2024-02-04,Februari,February,Q1,Bekasi,SUV,Volkswagen,Tiguan,16,42.99,10640,665
TRX0326,2024-02-05,Februari,February,Q1,Palembang,SUV,Audi,Q3,19,42.5,19266,1014
TRX0246,2024-02-05,Februari,February,Q1,Bogor,MPV,Nissan,Serena,1,17.23,404,404
TRX0276,2024-02-05,Februari,February,Q1,Padang,MPV,Hyundai,Stargazer,18,38.38,6534,363
TRX0386,2024-02-06,Februari,February,Q1,Medan,MPV,Audi,e-tron,3,34.39,4515,1505
TRX0501,2024-02-06,Februari,February,Q1,Makassar,MPV,Mitsubishi,Xpander,20,40.29,6240,312
TRX0582,2024-02-07,Februari,February,Q1,Surabaya,LCGC,Daihatsu,Sigra,3,18.7,600,200
TRX0179,2024-02-07,Februari,February,Q1,Balikpapan,Sedan,Honda,Accord,15,40.09,8715,581
TRX0160,2024-02-07,Februari,February,Q1,Tangerang,Sedan,Honda,Accord,9,46.87,5319,591
TRX0236,2024-02-07,Februari,February,Q1,Depok,Hatchback,Toyota,Yaris,3,39.38,864,288
TRX0558,2024-02-08,Februari,February,Q1,Bogor,SUV,Mercedes-Benz,GLA,6,22.09,6666,1111
TRX0281,2024-02-08,Februari,February,Q1,Tangerang,Hatchback,Suzuki,Ignis,17,35.65,3774,222
TRX0341,2024-02-08,Februari,February,Q1,Balikpapan,Sedan,Wuling,Air ev,3,43.01,564,188
TRX0449,2024-02-08,Februari,February,Q1,Bandung,Sedan,Mercedes-Benz,S-Class,3,37.55,5988,1996
TRX0111,2024-02-09,Februari,February,Q1,Bandung,MPV,Hyundai,Palisade,20,78.9,14700,735
TRX0130,2024-02-09,Februari,February,Q1,Balikpapan,SUV,Lexus,RX,16,23.36,19152,1197
TRX0498,2024-02-10,Februari,February,Q1,Padang,MPV,Suzuki,XL7,13,57.52,4134,318
TRX0536,2024-02-11,Februari,February,Q1,Denpasar,SUV,Lexus,RX,3,50.12,3630,1210
TRX0244,2024-02-11,Februari,February,Q1,Pekanbaru,Sedan,Lexus,ES,6,48.69,6606,1101
TRX0587,2024-02-12,Februari,February,Q1,Bekasi,SUV,Wuling,Almaz,13,66.43,4290,330
TRX0564,2024-02-12,Februari,February,Q1,Yogyakarta,Hatchback,Mazda,MX-5,3,23.37,2070,690
TRX0393,2024-02-12,Februari,February,Q1,Balikpapan,MPV,Hyundai,Tucson,18,72.59,8748,486
TRX0439,2024-02-12,Februari,February,Q1,Bandung,SUV,Audi,Q5,10,51.7,12090,1209
TRX0406,2024-02-12,Februari,February,Q1,Palembang,Sedan,Mercedes-Benz,GLC,2,51.78,2570,1285
TRX0094,2024-02-12,Februari,February,Q1,Depok,Pickup,Wuling,Formo,15,59.23,3885,259
TRX0071,2024-02-12,Februari,February,Q1,Samarinda,SUV,Wuling,Almaz,6,42.4,2016,336
TRX0570,2024-02-13,Februari,February,Q1,Jakarta,SUV,Toyota,Rush,11,63.29,3399,309
TRX0284,2024-02-13,Februari,February,Q1,Bandung,MPV,Hyundai,Tucson,19,62.41,9747,513
TRX0452,2024-02-13,Februari,February,Q1,Yogyakarta,MPV,Nissan,Kicks,3,16.53,1143,381
TRX0054,2024-02-13,Februari,February,Q1,Bandung,SUV,Daihatsu,Rocky,20,74.36,5700,285
TRX0229,2024-02-13,Februari,February,Q1,Bandar Lampung,Sedan,Lexus,LS,13,31.41,23335,1795
TRX0157,2024-02-13,Februari,February,Q1,Samarinda,SUV,Hyundai,Palisade,14,40.01,10430,745
TRX0135,2024-02-14,Februari,February,Q1,Medan,SUV,Lexus,RX,5,44.83,6010,1202
TRX0429,2024-02-16,Februari,February,Q1,Depok,SUV,Honda,HR-V,5,43.2,1975,395
TRX0098,2024-02-16,Februari,February,Q1,Manado,Sedan,Mazda,Mazda6,3,26.32,1656,552
TRX0186,2024-02-17,Februari,February,Q1,Bandung,SUV,Kia,Carnival,17,61.83,10404,612
TRX0030,2024-02-18,Februari,February,Q1,Depok,MPV,Suzuki,Ertiga,19,49.79,4997,263
TRX0270,2024-02-18,Februari,February,Q1,Medan,Sedan,BMW,5 Series,8,56.81,10440,1305
TRX0268,2024-02-18,Februari,February,Q1,Surabaya,LCGC,Daihatsu,Sigra,20,46.32,3480,174
TRX0592,2024-02-18,Februari,February,Q1,Manado,Pickup,Mitsubishi,Delica,12,38.35,5508,459
TRX0344,2024-02-18,Februari,February,Q1,Denpasar,SUV,Daihatsu,Terios,8,20.07,2272,284
TRX0504,2024-02-19,Februari,February,Q1,Yogyakarta,MPV,Hyundai,Tucson,20,38.86,10340,517
TRX0245,2024-02-19,Februari,February,Q1,Makassar,Hatchback,Wuling,Air ev,17,33.97,3145,185
TRX0482,2024-02-19,Februari,February,Q1,Depok,MPV,Hyundai,Stargazer,3,40.12,1023,341
TRX0274,2024-02-20,Februari,February,Q1,Yogyakarta,Hatchback,Suzuki,Swift,19,66.17,4959,261
TRX0093,2024-02-20,Februari,February,Q1,Balikpapan,Hatchback,Honda,Brio,8,47.06,1576,197
TRX0503,2024-02-20,Februari,February,Q1,Manado,MPV,Hyundai,Palisade,5,20.85,3680,736
TRX0361,2024-02-20,Februari,February,Q1,Padang,Sedan,Mercedes-Benz,GLC,1,16.5,1281,1281
TRX0586,2024-02-20,Februari,February,Q1,Malang,SUV,Volkswagen,Tiguan,7,40.39,4515,645
TRX0437,2024-02-21,Februari,February,Q1,Malang,SUV,Toyota,Rush,17,59.93,4777,281
TRX0123,2024-02-21,Februari,February,Q1,Semarang,Sedan,Mercedes-Benz,S-Class,12,67.06,24144,2012
TRX0360,2024-02-21,Februari,February,Q1,Depok,Pickup,Wuling,Formo,20,60.73,5180,259
TRX0533,2024-02-22,Februari,February,Q1,Balikpapan,Hatchback,Kia,Picanto,16,49.77,3248,203
TRX0063,2024-02-22,Februari,February,Q1,Balikpapan,SUV,Mazda,MX-5,19,24.79,13490,710
TRX0599,2024-02-23,Februari,February,Q1,Bogor,SUV,Volkswagen,Tiguan,15,58.72,9795,653
TRX0090,2024-02-23,Februari,February,Q1,Palembang,SUV,Daihatsu,Terios,6,34.25,1626,271
TRX0368,2024-02-23,Februari,February,Q1,Pekanbaru,LCGC,Daihatsu,Sigra,9,25.85,1575,175
TRX0554,2024-02-23,Februari,February,Q1,Denpasar,SUV,Wuling,Almaz,11,52.37,4059,369
TRX0237,2024-02-24,Februari,February,Q1,Palembang,MPV,Audi,e-tron,18,38.92,26784,1488
TRX0487,2024-02-24,Februari,February,Q1,Yogyakarta,MPV,Nissan,Livina,10,48.82,3190,319
TRX0021,2024-02-24,Februari,February,Q1,Padang,MPV,Mercedes-Benz,GLC,13,60.79,17004,1308
TRX0172,2024-02-24,Februari,February,Q1,Yogyakarta,Sedan,Mercedes-Benz,C-Class,7,18.58,6916,988
TRX0420,2024-02-24,Februari,February,Q1,Tangerang,Sedan,Lexus,NX,9,20.94,9108,1012
TRX0332,2024-02-24,Februari,February,Q1,Bogor,Hatchback,Daihatsu,Ayla,10,44.5,1850,185
TRX0219,2024-02-25,Februari,February,Q1,Manado,SUV,Nissan,X-Trail,2,35.42,922,461
TRX0372,2024-02-26,Februari,February,Q1,Semarang,Hatchback,Suzuki,Swift,12,53.89,3204,267
TRX0045,2024-02-26,Februari,February,Q1,Palembang,Sedan,Audi,A6,12,32.91,14328,1194
TRX0080,2024-02-26,Februari,February,Q1,Denpasar,MPV,BMW,X3,19,49.2,22990,1210
TRX0273,2024-02-26,Februari,February,Q1,Semarang,Hatchback,Toyota,Yaris,18,54.37,5346,297
TRX0258,2024-02-27,Februari,February,Q1,Jakarta,SUV,Mercedes-Benz,GLA,10,34.77,11140,1114
TRX0147,2024-02-27,Februari,February,Q1,Balikpapan,SUV,Audi,e-tron,20,44.2,29620,1481
TRX0125,2024-02-27,Februari,February,Q1,Denpasar,MPV,Audi,e-tron,3,18.96,4440,1480
TRX0069,2024-02-27,Februari,February,Q1,Bandung,SUV,Mercedes-Benz,GLA,1,44.2,1092,1092
TRX0113,2024-02-28,Februari,February,Q1,Bandung,SUV,Mazda,CX-5,4,43.65,1960,490
TRX0259,2024-02-28,Februari,February,Q1,Tangerang,Sedan,Hyundai,Palisade,9,19.86,6633,737
TRX0557,2024-02-28,Februari,February,Q1,Medan,Sedan,BMW,3 Series,8,49.89,8056,1007
TRX0155,2024-02-28,Februari,February,Q1,Bandar Lampung,SUV,Kia,Carnival,13,30.31,7891,607
TRX0008,2024-02-29,Februari,February,Q1,Medan,Sedan,Mazda,Mazda3,15,33.87,6600,440
TRX0204,2024-03-01,Maret,March,Q1,Bogor,SUV,Toyota,Rush,18,61.57,5454,303
TRX0398,2024-03-01,Maret,March,Q1,Medan,Hatchback,Toyota,Agya,19,31.7,3629,191
TRX0567,2024-03-01,Maret,March,Q1,Bekasi,SUV,BMW,X5,7,13.81,9835,1405
TRX0028,2024-03-01,Maret,March,Q1,Makassar,Sedan,Mazda,Mazda6,16,57.56,8880,555
TRX0129,2024-03-01,Maret,March,Q1,Padang,SUV,Mitsubishi,Eclipse Cross,15,48.06,6210,414
TRX0175,2024-03-01,Maret,March,Q1,Pekanbaru,Pickup,Wuling,Formo,15,44.99,3960,264
TRX0116,2024-03-02,Maret,March,Q1,Bogor,Hatchback,Volkswagen,Golf,5,39.65,2545,509
TRX0238,2024-03-02,Maret,March,Q1,Tangerang,Sedan,Toyota,Camry,8,36.21,4288,536
TRX0549,2024-03-02,Maret,March,Q1,Bekasi,MPV,Suzuki,XL7,7,32.7,2373,339
TRX0079,2024-03-02,Maret,March,Q1,Balikpapan,Sedan,Hyundai,Santa Fe,16,50.92,9728,608
TRX0070,2024-03-02,Maret,March,Q1,Semarang,SUV,Hyundai,Creta,19,67.83,7391,389
TRX0577,2024-03-02,Maret,March,Q1,Bandar Lampung,Sedan,Mercedes-Benz,S-Class,9,51.47,18126,2014
TRX0295,2024-03-03,Maret,March,Q1,Manado,Hatchback,Kia,Sportage,6,25.99,2682,447
TRX0356,2024-03-03,Maret,March,Q1,Surabaya,Hatchback,Hyundai,Palisade,5,39.23,3660,732
TRX0438,2024-03-04,Maret,March,Q1,Tangerang,Sedan,BMW,3 Series,10,36.09,9860,986
TRX0022,2024-03-04,Maret,March,Q1,Tangerang,SUV,Honda,CR-V,1,31.99,544,544
TRX0027,2024-03-04,Maret,March,Q1,Bandung,SUV,Hyundai,Santa Fe,2,52.38,1160,580
TRX0297,2024-03-04,Maret,March,Q1,Bogor,MPV,Wuling,Cortez,15,47.56,4020,268
TRX0532,2024-03-05,Maret,March,Q1,Bekasi,Hatchback,Audi,e-tron,19,46.3,28861,1519
TRX0169,2024-03-05,Maret,March,Q1,Samarinda,MPV,Audi,Q3,3,49.15,2967,989
TRX0100,2024-03-05,Maret,March,Q1,Yogyakarta,Hatchback,Honda,Odyssey,17,35.67,11288,664
TRX0583,2024-03-05,Maret,March,Q1,Denpasar,SUV,Audi,Q5,4,44.36,4816,1204
TRX0143,2024-03-06,Maret,March,Q1,Malang,SUV,Mitsubishi,Eclipse Cross,3,11.13,1155,385
TRX0124,2024-03-06,Maret,March,Q1,Bogor,Sedan,Mercedes-Benz,E-Class,11,56.15,13299,1209
TRX0060,2024-03-07,Maret,March,Q1,Tangerang,Sedan,Audi,A4,17,35.48,15640,920
TRX0561,2024-03-07,Maret,March,Q1,Malang,Pickup,Nissan,Navara,18,18.17,7596,422
TRX0067,2024-03-07,Maret,March,Q1,Denpasar,MPV,Nissan,Serena,15,55.29,6015,401
TRX0419,2024-03-07,Maret,March,Q1,Bandung,SUV,Daihatsu,Terios,13,65.13,3510,270
TRX0546,2024-03-07,Maret,March,Q1,Bandung,Sedan,Mazda,CX-3,11,33.9,4422,402
TRX0078,2024-03-07,Maret,March,Q1,Yogyakarta,SUV,Daihatsu,Rocky,9,35.33,2520,280
TRX0513,2024-03-08,Maret,March,Q1,Malang,MPV,Suzuki,Ertiga,7,35.6,1981,283
TRX0039,2024-03-08,Maret,March,Q1,Bandar Lampung,SUV,Hyundai,Palisade,3,9.98,2241,747
TRX0515,2024-03-08,Maret,March,Q1,Manado,Hatchback,Kia,Picanto,6,30.32,1224,204
TRX0555,2024-03-08,Maret,March,Q1,Tangerang,LCGC,Daihatsu,Sigra,20,35.99,3860,193
TRX0315,2024-03-08,Maret,March,Q1,Bogor,Hatchback,Kia,Carnival,20,30.7,12340,617
TRX0547,2024-03-08,Maret,March,Q1,Tangerang,SUV,Daihatsu,Terios,13,39.94,3432,264
TRX0009,2024-03-09,Maret,March,Q1,Bandung,MPV,Wuling,Cortez,18,42.09,4860,270
TRX0412,2024-03-09,Maret,March,Q1,Malang,SUV,Toyota,Rush,10,60.8,2970,297
TRX0216,2024-03-09,Maret,March,Q1,Pekanbaru,MPV,Suzuki,XL7,4,54.73,1272,318
TRX0445,2024-03-10,Maret,March,Q1,Samarinda,MPV,Wuling,Cortez,14,46.82,4088,292
TRX0571,2024-03-10,Maret,March,Q1,Padang,MPV,Hyundai,Stargazer,18,57.93,6606,367
TRX0095,2024-03-10,Maret,March,Q1,Bandar Lampung,Hatchback,Kia,Stonic,15,24.01,4770,318
TRX0425,2024-03-11,Maret,March,Q1,Bekasi,Sedan,Lexus,ES,7,52.39,7791,1113
TRX0140,2024-03-11,Maret,March,Q1,Samarinda,Sedan,Lexus,LS,18,73.08,32472,1804
TRX0280,2024-03-11,Maret,March,Q1,Padang,SUV,Daihatsu,Terios,17,20.77,4607,271
TRX0235,2024-03-11,Maret,March,Q1,Depok,Hatchback,Honda,Brio,18,76.6,3690,205
TRX0335,2024-03-11,Maret,March,Q1,Bandung,Sedan,Lexus,ES,9,48.16,9927,1103
TRX0506,2024-03-11,Maret,March,Q1,Malang,SUV,Mitsubishi,Outlander,16,36.47,8128,508
TRX0163,2024-03-11,Maret,March,Q1,Manado,SUV,Toyota,Rush,17,35.24,5083,299
TRX0210,2024-03-11,Maret,March,Q1,Semarang,Sedan,Lexus,ES,20,42.67,21700,1085
TRX0380,2024-03-12,Maret,March,Q1,Surabaya,Sedan,Mercedes-Benz,C-Class,17,83.32,17289,1017
TRX0314,2024-03-12,Maret,March,Q1,Bandung,SUV,Wuling,Almaz,18,41.02,6354,353
